author_year,doi,N,beta,se_beta,original_BLL_scale,included_analysis-1,included_analysis-2,comment
Bauer 2020,10.1289/EHP6803,635,-0.10,0.87,ln,X,X,
Cao 2010,,,,,,,,ERF for linear BLL and RCT study design -> excluded
Chen 2005,,,,,,,,ERF for linear BLL and RCT study design -> excluded
Crump 2013,10.3109/10408444.2013.832726,1493,-2.65,0.53,ln,X,X,"Overlap with Hornung and Lanphear - Including only this study (Lanphear: linear effect estimate, Hornung: less recent study than Crump)"
Dantzer 2020,10.1016/j.scitotenv.2019.134519,224,-5.71,1.61,log10,X,X,
Desrochers-Couture 2018,10.1016/j.envint.2018.10.043,606,0.02,0.06,log2,X,X,
Earl 2016,10.1111/ajpy.12096,127,-5.86,2.22,log10,,X,First excluded because 20 month time lag between BLL and IQ measurement
Halabicky 2023,,,,,linear,,,ERF for linear BLL -> excluded
Hong 2015,10.1289/ehp.1307420,839,-3.14,1.37,log10,X,X,
Hornung 2009,,,,,,,,Overlap with Crump and Lanphear -> excluded
Iglesias 2011,,,,,linear,,,ERF for linear BLL -> excluded
Lanphear 2019,,,,,,,,Overlap with Crump and Hornung -> excluded
Lee 2021,10.1016/j.envint.2021.106798,502,-3.83,2.25,ln,X,X,
Lucchini 2012,10.1186/s12940-019-0505-3,299,-1.10,0.84,ln,X,X,
Lucchini 2019,10.1016/j.envres.2012.08.003,299,-3.48,1.48,ln,X,X,
Menezes-Filho 2018,10.3390/ijerph15112418,219,-3.74,1.29,log10,X,X,
Min 2009,,,,,linear,,,ERF for linear BLL -> excluded
Roy 2013,10.1016/j.neuro.2013.05.005,708,-4.70,1.66,ln,,X,Excluded at first because of unplausibly high effect estimate; first author confirmed missing decimal point in publication
Schnaas 2006,10.1289/ehp.8552,122,0.21,0.85,ln,X,X,
Wang 2022,,,,,linear,,,ERF for linear BLL -> excluded
Total,,,,,,10,12,
