author_year,year,N,beta,se_beta,CI_lower_beta,CI_upper_beta,beta_lin,CI_lower_beta_lin,CI_upper_beta_lin,se_beta_lin,beta_ln,se_beta_ln
Bauer 2020,2020,635.0000,-0.1000,0.8674,-1.8000,1.6000,-0.0570,-1.0270,0.9130,0.4949,-0.1000,0.8674
Crump 2013,2013,1493.0000,-2.6500,-0.5306,-3.6900,-1.6100,-0.2770,-0.1680,-0.3860,-0.0556,-2.6500,0.5306
Dantzer 2020,2020,224.0000,-13.1500,3.7093,-20.4200,-5.8800,-5.7860,-8.9850,-2.5870,1.6322,-5.7110,1.6109
Desrochers-Couture 2018,2018,606.0000,0.0140,0.0431,-0.0710,0.0980,0.0180,-0.0900,0.1260,0.0551,0.0202,0.0622
Earl 2016,2016,127.0000,-13.5000,5.1000,,,,,,,-5.8630,2.2150
Hong 2015,2015,839.0000,-7.2300,3.1429,-13.3900,-1.0700,-1.3870,-2.5690,-0.2050,0.6031,-3.1399,1.3650
Lee 2021,2021,502.0000,-3.8300,2.2500,-8.2500,0.5700,-2.0310,-4.3690,0.3080,1.1931,-3.8300,2.2500
Lucchini 2019,2019,299.0000,-1.1000,0.8419,-2.7000,0.6000,-0.0860,-0.2160,0.0430,0.0660,-0.1100,0.0842
Lucchini 2012,2012,299.0000,-3.4830,1.4810,,,-1.7790,-3.2620,-0.2960,0.7566,-3.4830,1.4810
Menezes-Filho 2018,2018,219.0000,-8.6090,2.9650,,,-4.0990,-6.8650,-1.3320,1.4115,-3.7388,1.2877
Roy 2013,2013,708.0000,-4.7000,1.6582,,,,,,,-4.7000,1.6580
Schnaas 2006,2006,122.0000,0.2100,0.8521,1.4600,1.8800,0.0310,-0.2180,0.2810,0.1270,0.2100,0.8521
