"First author, year",Study population (N),Geographical area,Mean age / age range,BLL indicator,BLL value (µg/dL unless stated otherwise),IQ measurement instrument,Mean IQ,Adjustment set,Original BLL scale,Original regression coefficient,Original SE,Harmonized regression coefficient (log(e) scale),Harmonized SE
Bauer 2020,635,"Province of Bresia, Italy",10-14,Median,1,WISC-III (FSIQ),107.1,"Sex, age, SES, hemoglobin, HOME score and HOME score squared",Log(e),-0.1000,0.8674,-0.1000,0.8674
Crump 2013,"1,355","USA (Boston, Cleveland, Cincinnati, Rochester), Mexico, Australia (Port Pirie) and Yugoslavia",5-7,Mean,10,WISC (FSIQ),94.4,"Site, HOME score, birth weight, maternal IQ, maternal education, maternal alcohol use, maternal tobacco use and birth order",Log(e),-3.315,0.6281,-3.315,0.6281
Dantzer 2020,224,"USA (Greater Cincinnati, Ohio metropolitan region)",12,Mean,1,WISC-IV (FSIQ),101.6,"Caregiver full-scale IQ (WASI-2), BMI at age 12, and a measure of neighborhood-level deprivation based on census-tract level socioeconomic indicators",Log(10),-13.1500,3.7093,-5.7110,1.6109
Desrochers-Couture 2018,606,Canada (10 different study sites),3-4,Mean,1,WPPSI-III (FSIQ),107.0,"Child age, child sex, evaluation site, marital status, familial income, HOME total score,
Parenting Stress Index, and cord blood lead (log-2 scale)",Log(2),0.0140,0.0431,0.0202,0.0622
Earl 2016,127,"Australia, New South Wales, Port Pirie and Broken Hill",7-8,Mean,4,WISC-IV (FSIQ),100.5,"Current maternal smoking, breastfeeding, income, HOME score and stressful life events",Log(10),-13.5000,5.1000,-5.8630,2.2150
Hong 2015,839,"South Korea (two urban cities, two industrial cities, and one rural district)",8-11,Mean,2,Korean WISC (FSIQ),110.1,"Demographic variables and ADHD-RS and CPT scores, plus log10-transformed environmental chemical concentrations [blood mercury and manganese concentrations, and creatinine-standardized urine concentrations of cotinine, phthalate metabolites (MnBP, MEOHP + MEHP), and BPA]",Log(10),-7.2300,3.1429,-3.1399,1.3650
Lee 2021,502,"South Korea (Seoul, Gyeonggi, and Incheon provinces)",6,Mean,1,Korean WISC (FSIQ),109.9,"Maternal education, exposure to environmental tobacco smoke during pregnancy, maternal age and maternal IQ",Log(e),-3.8300,2.2500,-3.8300,2.2500
Lucchini 2019,299,"Southern Italy (City of Taranto, Puglia region, 5 sub-areas, incremental distance from a highly industrial area)",6-12,Median,8.4 ng/mL,WISC-IV (FSIQ),106.0,"Age, sex, maternal SPM (Standard Progressive Matrice, non-verbal intellectual efficiency), HOME score and distance from the point source ",Log(e) per ng/mL,-1.1000,0.8419,-0.1100,0.0842
Lucchini 2012,299,Northern Italy (Valcamonica and Garda Lake regions),11-14,Median,2,WISC-III (FSIQ),106.3,"SES, area, alcohol consumption, hemoglobin levels",Log(e),-3.4830,1.4810,-3.4830,1.4810
Menezes-Filho 2018,155,"Brazil (Municipality of Simões Filho, metropolitan region of Salvador, Bahia)",7-12,Mean,2,WASI (FSIQ),75.5,"Age, maternal IQ and manganese levels",Log(10),-8.6090,2.9650,-3.7388,1.2877
Roy 2013,708,India (Chennai),3-7,Mean,12,Binet–Kamath Scale of Intelligence (Tamil version of Stanford–Binet) (FSIQ),106.9,"Age, age² in months, sex, mid-arm circumference, average monthly household income, parental education, family size",Log(e),-4.7000,1.6582,-4.7000,1.6580
Schnaas 2006,150,Mexico (Mexico City),6-10,Mean,7,WISC-Revised (FSIQ),107.9,"Maternal IQ, child sex, birth weight, socioeconomic status (based on parental education, occupation, and income), indicator for first FSIQ testing",Log(e),0.17,0.8087,0.17,0.8087
