"First author, year",Study population (N),Geographical area,Mean age / age range,BLL indicator,BLL value (µg/dL unless statedotherwise),IQ measurement instrument,Mean IQ,Adjustment set (confounder),Original BLL scale,Original regression coefficient,Original SE,Harmonized regression coefficient (log(e) scale),Harmonized SE
Bauer 2020,635,"Province of Bresia, Italy",10-14,Median,1.3,WISC-III (FSIQ),107.1,"Sex, age, SES, hemoglobin, HOME score and HOME score squared",Log(e),-0.10,0.87,-0.10,0.87
Crump 2013,"1,355","USA (Boston, Cleveland, Cincinnati, Rochester), Mexico, Australia (Port Pirie) and Yugoslavia",5-7,Mean,10.0,WISC (FSIQ),94.4,"Site, HOME score, birth weight, maternal IQ, maternal education, maternal alcohol use, maternal tobacco use and birth order",Log(e),-3.31,0.63,-3.31,0.63
Dantzer 2020,224,"USA (Greater Cincinnati, Ohio metropolitan region)",12,Mean,0.6,WISC-IV (FSIQ),101.6,"Caregiver FSIQ (WASI-2), BMI at age 12, and a measure of neighborhood-level deprivation based on census-tract level socioeconomic indicators",Log(10),-13.15,3.71,-5.71,1.61
Desrochers-Couture 2018,606,Canada (10 different study sites),3-4,Mean,0.7,WPPSI-III (FSIQ),107.0,"Child age, child sex, evaluation site, marital status, familial income, HOME score, Parenting Stress Index, and cord blood lead (log-2 scale)",Log(2),0.01,0.04,0.02,0.06
Earl 2016,127,"Australia, New South Wales, Port Pirie and Broken Hill",7-8,Mean,3.9,WISC-IV (FSIQ),100.5,"Current maternal smoking, breastfeeding, income, HOME score and stressful life events",Log(10),-13.50,5.10,-5.86,2.22
Hong 2015,839,"South Korea (two urban cities, two industrial cities, and one rural district)",8-11,Mean,1.8,Korean WISC (FSIQ),110.1,"Demographic variables and ADHD-RS and CPT scores, plus log10-transformed environmental chemical concentrations (blood mercury and manganese concentrations, and creatinine-standardized urine concentrations of cotinine, phthalate metabolites, and Bisphenol A)",Log(10),-7.23,3.14,-3.14,1.37
Lee 2021,502,"South Korea (Seoul, Gyeonggi, and Incheon provinces)",6,Mean,1.4,Korean WISC (FSIQ),109.9,"Maternal education, exposure to environmental tobacco smoke during pregnancy, maternal ageand maternal IQ",Log(e),-3.83,2.25,-3.83,2.25
Lucchini 2019,299,"Southern Italy (City of Taranto, Puglia region, 5 sub-areas, incremental distance from a highly industrial area)",6-12,Median,8.4 ng/mL,WISC-IV (FSIQ),106.0,"Age, sex, maternal, Standard Progressive Matrice, non-verbal intellectual efficiency, HOME score and distance from the point source",Log(e) per ng/mL,-1.10,0.84,-1.10,0.84
Lucchini 2012,299,Northern Italy (Valcamonicaand Garda Lake regions),11-14,Median,1.5,WISC-III (FSIQ),106.3,"SES, area, alcohol consumption, hemoglobin levels",Log(e),-3.48,1.48,-3.48,1.48
Menezes-Filho 2018,155,"Brazil (Municipality of Simões Filho, metropolitan region of Salvador, Bahia)",7-12,Mean,1.6,WASI (FSIQ),75.5,"Age, maternal IQ and manganese levels",Log(10),-8.61,2.97,-3.74,1.29
Roy 2013,708,India (Chennai),3-7,Mean,11.5,Binet–Kamath Scale of Intelligence (Tamil version of Stanford–Binet) (FSIQ),106.9,"Age, age² in months, sex, mid-arm circumference, average monthly household income, parental education, family size",Log(e),-4.70,1.66,-4.70,1.66
Schnaas2006,150,Mexico (Mexico City),6-10,Mean,6.7,WISC-Revised (FSIQ),107.9,"Maternal IQ, child sex, birth weight, socioeconomic status (based on parental education, occupation, and income), indicator for first FSIQ testing",Log(e),0.17,0.81,0.17,0.81
